SMILES,rotational_entropy,one_dim_trans_entropy,symmetry
CC[N+]1(CC)[C@@H](C)CC[C@H]2CCCC[C@H]21,0.1371999980241071,0.060546274933959886,1.0
CC[N+]1(CC)[C@H](C)CC[C@@H]2CCCC[C@H]21,0.13747636048045328,0.060546274933959886,1.0
CC[N+]1(CC)[C@@H](C)CC[C@@H]2CCCC[C@@H]21,0.13730740864379234,0.060546274933959886,1.0
CC[N+]1(CC)[C@H]2CCCC[C@@H]2CC[C@H]1C,0.13752766449042678,0.060546274933959886,1.0
CC[N+]1(CC)[C@@H](C)CC[C@@H]2CCCC[C@H]21,0.13752767762542267,0.060546274933959886,1.0
CC[N+]1(CC)[C@H](C)CC[C@H]2CCCC[C@H]21,0.13717956074301066,0.060546274933959886,1.0
CC[N+]1(CC)[C@@H](C)CC[C@H]2CCCC[C@@H]21,0.1374762959376388,0.060546274933959886,1.0
CC[N+]1(CC)C(C)CC[C@@H]2CCCCC21,0.13747629810554118,0.060546274933959886,1.0
CC[N+]1(CC)[C@H]2CCCC[C@H]2CC[C@H]1C,0.13720375609401064,0.060546274933959886,1.0
C1CNCCN1,0.10759719055021566,0.0568339149119872,2.0
C[N+]1(C)CCC2(CC1)OC[C@@H](c1ccccc1)O2,0.14236185383078245,0.06123589208303377,1.0
C[N+]1(C)C[C@@H]2C[C@H](C1)[N+](C)(C)C2,0.1307304485461533,0.05966752932566797,1.0
C[N+]1(C)C[C@@H]2C[C@H](C1)C[N+]2(C)C,0.1307302804870624,0.05966752932566797,1.0
CC[N+]1([C@@H]2CC(C)(C)C[C@H]2C)CCCC1,0.1380054758167119,0.060546274933959886,1.0
CC[N+]1([C@H]2CC(C)(C)C[C@H]2C)CCCC1,0.13790775572609565,0.060546274933959886,1.0
CC[N+]1([C@@H]2CC(C)(C)C[C@@H]2C)CCCC1,0.13790774519089416,0.060546274933959886,1.0
CC[N+]1([C@H]2CC(C)(C)C[C@@H]2C)CCCC1,0.1379337793880378,0.060546274933959886,1.0
CN(C1CCCCC1)C1CCCCC1,0.13170919941704803,0.06023803133374004,2.0
CC[N@+]1(C)CCCC(C)(C)C1,0.1302426045379964,0.059310717734076666,1.0
CC[N@@+]1(C)CCCC(C)(C)C1,0.12988818675074082,0.059310717734076666,1.0
C[N+]1(C)C[C@H]2CCC[C@@H]1CCC2,0.13006885302940532,0.05961851673167251,1.0
C[N+]1(C)CC2CCCC1CCC2,0.13006885166343235,0.05961851673167251,1.0
C1CC[N+]2(CC1)CC[N+]1(CCCCC1)CC2,0.13944125612973815,0.06081423069062555,1.0
