sisso_model,dectree_rank,logistic_rank,average_rank
sisso_00557,37444,44349,40896.5
sisso_00558,48598,6065,27331.5
sisso_00559,37153,47767,42460.0
sisso_00560,49750,14475,32112.5
sisso_00561,30539,35677,33108.0
sisso_00562,42710,2008,22359.0
sisso_00563,14689,48010,31349.5
sisso_00564,23028,1539,12283.5
sisso_00565,10788,6208,8498.0
sisso_00566,35621,48235,41928.0
sisso_00567,26732,10522,18627.0
sisso_00568,15920,8519,12219.5
sisso_00569,49193,4097,26645.0
sisso_00570,35351,48173,41762.0
sisso_00571,18672,1621,10146.5
sisso_00572,28172,48141,38156.5
sisso_00573,17909,10523,14216.0
sisso_00574,2484,4355,3419.5
sisso_00575,44659,11473,28066.0
sisso_00576,42978,48413,45695.5
sisso_00577,11445,8161,9803.0
sisso_00578,37445,11474,24459.5
sisso_00579,6476,34201,20338.5
sisso_00580,40242,5661,22951.5
sisso_00581,7672,6066,6869.0
sisso_00582,23029,38134,30581.5
sisso_00583,39628,41744,40686.0
sisso_00584,29780,48579,39179.5
sisso_00585,44660,39415,42037.5
sisso_00586,2485,3022,2753.5
sisso_00587,34312,45934,40123.0
sisso_00588,10992,35992,23492.0
sisso_00589,40243,40293,40268.0
sisso_00590,22040,11475,16757.5
sisso_00591,34076,34202,34139.0
sisso_00592,27986,7160,17573.0
sisso_00593,26377,13704,20040.5
sisso_00594,4583,29831,17207.0
sisso_00595,38749,47812,43280.5
sisso_00596,20673,7648,14160.5
sisso_00597,9945,27666,18805.5
sisso_00598,41110,48142,44626.0
sisso_00599,37154,47566,42360.0
sisso_00600,28858,34583,31720.5
sisso_00601,43603,47682,45642.5
sisso_00602,16867,5541,11204.0
sisso_00603,8600,9844,9222.0
sisso_00604,15440,11476,13458.0
sisso_00605,24019,2255,13137.0
sisso_00606,34577,47264,40920.5
sisso_00607,15921,9162,12541.5
sisso_00608,45445,20381,32913.0
sisso_00609,39848,48296,44072.0
sisso_00610,13431,12377,12904.0
sisso_00611,36610,1918,19264.0
sisso_00612,6648,627,3637.5
sisso_00613,43482,48143,45812.5
sisso_00614,34853,41944,38398.5
sisso_00615,30738,1715,16226.5
sisso_00616,27261,19559,23410.0
sisso_00617,4721,19321,12021.0
sisso_00618,45520,48272,46896.0
sisso_00619,36331,47925,42128.0
sisso_00620,4324,20661,12492.5
sisso_00621,37446,47813,42629.5
sisso_00622,44810,45318,45064.0
sisso_00623,37999,48011,43005.0
sisso_00624,16373,8665,12519.0
sisso_00625,38000,48357,43178.5
sisso_00626,11643,46728,29185.5
sisso_00627,2776,3949,3362.5
sisso_00628,15683,8837,12260.0
sisso_00629,10789,9163,9976.0
sisso_00630,11216,11076,11146.0
sisso_00631,21718,28854,25286.0
sisso_00632,45305,23295,34300.0
sisso_00633,19727,9668,14697.5
sisso_00634,12281,25940,19110.5
sisso_00635,7862,18048,12955.0
sisso_00636,31351,10717,21034.0
sisso_00637,47079,35257,41168.0
sisso_00638,30345,43160,36752.5
sisso_00639,25470,6817,16143.5
sisso_00640,20833,1555,11194.0
sisso_00641,14146,13510,13828.0
sisso_00642,16868,18049,17458.5
sisso_00643,22854,6666,14760.0
sisso_00644,14413,6667,10540.0
sisso_00645,12738,7491,10114.5
sisso_00646,17114,6374,11744.0
sisso_00647,20198,35884,28041.0
sisso_00648,13432,10175,11803.5
sisso_00649,11446,11661,11553.5
sisso_00650,26032,8520,17276.0
sisso_00651,42839,46883,44861.0
sisso_00652,14958,8838,11898.0
sisso_00653,24775,12758,18766.5
sisso_00654,37155,12934,25044.5
sisso_00655,13433,10349,11891.0
sisso_00656,15922,7322,11622.0
sisso_00657,17311,6668,11989.5
sisso_00658,15209,6985,11097.0
sisso_00659,12961,10524,11742.5
sisso_00660,11447,8521,9984.0
sisso_00661,14690,8666,11678.0
sisso_00662,42979,29832,36405.5
sisso_00663,41447,35064,38255.5
sisso_00664,19226,4580,11903.0
sisso_00665,20674,3857,12265.5
sisso_00666,23517,10010,16763.5
sisso_00667,46180,7808,26994.0
sisso_00668,6477,14685,10581.0
sisso_00669,20834,8343,14588.5
sisso_00670,21297,18304,19800.5
sisso_00671,18856,10011,14433.5
sisso_00672,23518,5311,14414.5
sisso_00673,15923,8839,12381.0
sisso_00674,26552,9327,17939.5
sisso_00675,23686,1233,12459.5
sisso_00676,40418,48655,44536.5
sisso_00677,13179,6986,10082.5
sisso_00678,45731,47975,46853.0
sisso_00679,11644,7809,9726.5
sisso_00680,6811,31813,19312.0
sisso_00681,7863,29616,18739.5
sisso_00682,5419,30278,17848.5
sisso_00683,5717,29372,17544.5
sisso_00684,20511,9164,14837.5
sisso_00685,20835,10888,15861.5
sisso_00686,17312,9328,13320.0
sisso_00687,47457,48273,47865.0
sisso_00688,12739,6669,9704.0
sisso_00689,42587,22397,32492.0
sisso_00690,259,16502,8380.5
sisso_00691,46249,16288,31268.5
sisso_00692,45652,48174,46913.0
sisso_00693,20199,2718,11458.5
sisso_00694,19728,2655,11191.5
sisso_00695,39629,39211,39420.0
sisso_00696,12962,49309,31135.5
sisso_00697,39630,44154,41892.0
sisso_00698,10790,49310,30050.0
sisso_00699,32446,34486,33466.0
sisso_00700,24776,23870,24323.0
sisso_00701,17910,2863,10386.5
sisso_00702,27805,9499,18652.0
sisso_00703,44895,48060,46477.5
sisso_00704,42328,48996,45662.0
sisso_00705,10555,38927,24741.0
sisso_00706,48705,18562,33633.5
sisso_00707,49194,6209,27701.5
sisso_00708,14691,49311,32001.0
sisso_00709,40244,48474,44359.0
sisso_00710,10993,10889,10941.0
sisso_00711,40419,48430,44424.5
sisso_00712,31787,12759,22273.0
sisso_00713,20512,11662,16087.0
sisso_00714,22523,8522,15522.5
sisso_00715,9946,29833,19889.5
sisso_00716,17911,5044,11477.5
sisso_00717,1596,2798,2197.0
sisso_00718,39232,48358,43795.0
sisso_00719,18108,10350,14229.0
sisso_00720,42041,8162,25101.5
sisso_00721,24559,28589,26574.0
sisso_00722,27092,41087,34089.5
sisso_00723,13180,49130,31155.0
sisso_00724,42588,17581,30084.5
sisso_00725,29583,46382,37982.5
