job,crystal_id,framework,stoichiometry,energies,Si_count,formation_E
35296660,59490883,JRY,O48Si24,-21.178879830634813,24,10.538367210795412
35296673,59490898,LTL,O72Si36,-31.748405959014235,36,11.990690866029826
78516457,59490819,CHA,O72Si36,-31.727217584246116,36,13.53597092690117
78516449,59490789,ANA,O96Si48,-42.34672227925065,48,11.14208905867664
35296619,59490822,CON,O112Si56,-49.38928165119728,56,11.856022321088947
35323180,59490910,MOZ,O216Si108,-95.2372252795709,108,12.184992405481374
78516456,59490813,CAN,O24Si12,-10.579303324070882,12,12.756169072884692
35296681,59490907,MFS,O72Si36,-31.76238022115934,36,10.9715400866736
35296683,59490911,MRE,O96Si48,-42.39911961073623,48,8.276063969200491
78516473,59490933,OSO,O18Si9,-7.874395981010587,9,30.283282615560314
35296640,59490852,GME,O48Si24,-21.152587738412176,24,13.414612768668535
35296663,59490886,JST,O96Si48,-42.03700101719657,48,28.08319813091057
35296583,59490774,AEI,O96Si48,-42.30279400626427,48,13.544874256830777
35296709,59490950,RRO,O36Si18,-15.86245181641119,18,13.704728702618336
35323165,59490824,CTH,O256Si128,-112.81802450961753,128,13.327986890236893
35296695,59490932,OSI,O64Si32,-28.221778296164974,32,11.910859311006686
78516463,59490882,JOZ,O40Si20,-17.576123944111238,20,20.113905315839535
35296734,59490983,SSF,O108Si54,-47.6462948833663,54,10.839071367370394
35296659,59490881,JNT,O64Si32,-28.200884122025567,32,13.62516113543944
35296694,59490931,OKO,O136Si68,-59.949301726528056,68,12.759403709990972
35296737,59490986,STF,O64Si32,-28.22557545334004,32,11.599314407176578
35296691,59490928,NSI,O24Si12,-10.586198166789655,12,11.24763482812559
78516490,151420765,CIT-14,O112Si56,-49.26044108390799,56,17.89657473512714
35296723,59490968,SFF,O64Si32,-28.230724508048503,32,11.17685052696142
35296593,59490785,AFV,O60Si30,-26.43376905351768,30,14.024220614799123
78516477,59490963,SBN,O20Si10,-8.79279959216749,10,18.870043060715123
35296657,59490875,ITW,O48Si24,-21.16770729531781,24,11.760596115349358
35296676,59490902,MEI,O68Si34,-29.956103228181092,34,14.191663110572783
35296669,59490892,LIT,O52Si24,-21.70792474404974,24,-47.336946371699376
35296679,59490905,MER,O64Si32,-28.20986645627404,32,12.888188624007245
78516469,59490922,NAB,O20Si10,-8.788631386048007,10,19.964405660749676
35296626,59490835,EMT,O192Si96,-84.58657165784373,96,14.064951788374893
35323181,59490913,MSE,O224Si112,-98.77460266040985,112,11.948867556115637
35296687,59490917,MTT,O48Si24,-21.17707655053689,24,10.735638554868675
35296616,59490817,CGF,O72Si36,-31.74724976440891,36,12.075012787349763
78516458,59490829,DFT,O16Si8,-7.052837351930038,8,12.766517082808406
35296641,59490853,GON,O64Si32,-28.269616338701308,32,7.985897115795637
35296631,59490841,ETR,O96Si48,-42.29029609428706,48,14.228484056742175
