dft_job_id,dft_crystal_id,framework,stoichiometry,Si_count,dft_formation_energy,dreiding_formation_energy
35323165,59490824,CTH,O256Si128,128,13.327986890236891,-8.73999494671965
35296695,59490932,OSI,O64Si32,32,11.910859311006686,-29.83153486807766
78516463,59490882,JOZ,O40Si20,20,20.11390531583953,-30.501078058968307
35296734,59490983,SSF,O108Si54,54,10.839071367370394,-10.799021241159855
35296659,59490881,JNT,O64Si32,32,13.62516113543944,-21.86807563718911
35296694,59490931,OKO,O136Si68,68,12.759403709990972,8.96857576355099
35296737,59490986,STF,O64Si32,32,11.599314407176578,-3.811730999587308
35296691,59490928,NSI,O24Si12,12,11.24763482812559,-24.95404245765046
78516490,151420765,CIT-14,O112Si56,56,17.89657473512714,
35296723,59490968,SFF,O64Si32,32,11.17685052696142,1.051384024462328
35296593,59490785,AFV,O60Si30,30,14.024220614799123,7.542327432114368
78516477,59490963,SBN,O20Si10,10,18.870043060715123,77.55092566151835
35296657,59490875,ITW,O48Si24,24,11.760596115349358,-8.771984658294981
35296676,59490902,MEI,O68Si34,34,14.191663110572785,0.5147908177038568
35296679,59490905,MER,O64Si32,32,12.888188624007244,7.1010931620807956
78516469,59490922,NAB,O20Si10,10,19.96440566074968,-39.50429051491573
35296626,59490835,EMT,O192Si96,96,14.064951788374891,-16.90400387391363
35323181,59490913,MSE,O224Si112,112,11.948867556115635,-2.9299811112679652
35296687,59490917,MTT,O48Si24,24,10.735638554868675,-17.283963360555738
35296616,59490817,CGF,O72Si36,36,12.075012787349763,-8.398842656043184
78516458,59490829,DFT,O16Si8,8,12.766517082808406,-17.823243348531992
35296641,59490853,GON,O64Si32,32,7.985897115795637,-6.160575410505665
35296631,59490841,ETR,O96Si48,48,14.228484056742175,-16.270232566931654
35296674,59490900,MAR,O144Si72,72,12.387411361762744,-55.73445337511736
35296714,59490956,RWY,O96Si48,48,54.6960500005305,-59.92405745030478
35296690,59490925,NON,O176Si88,88,12.087409594733916,-14.823099101690861
35296744,59490995,SZR,O72Si36,36,10.977458683559032,-14.664147173626112
35296623,59490830,DOH,O68Si34,34,12.811498955639768,-3.5591010137206354
35296747,59491014,TON,O48Si24,24,10.787547735207395,-14.690272111990728
78516495,203995251,PTO,O96Si48,48,10.188080286722249,79.0367769757606
35296595,59490787,AFY,O32Si16,16,19.789439176903944,14.477675257551756
78516484,59491191,WEI,O40Si20,20,20.333868631288063,-41.181202378793756
35296612,59490812,BSV,O192Si96,96,21.65384700633311,-23.159442443733244
35296721,59490966,SEW,O132Si66,66,11.593205261234,-2.0905930393057397
78516471,59490926,NPO,O12Si6,6,11.45783371704218,-55.59380719652335
35296600,59490797,ATT,O24Si12,12,12.364716889809662,-46.56851306462704
35296713,59490954,RUT,O72Si36,36,10.56122478313446,-15.084576009146089
35323171,59490858,IFT,O308Si152,152,16.64507557149195,3.965808408323486
35296588,59490780,AFN,O64Si32,32,13.16379127024707,-10.33510388405049
35296622,59490826,DAC,O48Si24,24,11.255006949492342,4.420924312465782
35296722,59490967,SFE,O28Si14,14,12.19406469000528,-14.237511292715766
78516452,59490794,ATN,O32Si16,16,11.098282775467764,-25.1380266943555
35296692,59490929,OBW,O152Si76,76,25.32765655483407,-38.92633948231488
35296620,59490823,CSV,O40Si20,20,12.654854940338131,0.5652879164631127
35296644,59490856,IFO,O64Si32,32,11.00175027225516,-4.660781120916664
35296611,59490811,BRE,O32Si16,16,11.17908024230766,-10.540510914613463
35296730,59490977,SIV,O128Si64,64,12.914840988945514,-29.487391793314124
35296733,59490981,SOS,O48Si24,24,25.94199075489812,-32.71417527319912
35296608,59490808,BOG,O192Si96,96,11.537760011934717,1.517727481202976
35296667,59490890,LEV,O108Si54,54,12.815528268615251,5.4486414042335305
35296591,59490783,AFS,O112Si56,56,13.940018169101483,-14.324428291019487
35296707,59490948,RHO,O96Si48,48,13.806525850036705,5.9869389015209205
35323170,59490847,FAU,O384Si192,192,14.004951319295884,-16.816052520079413
35296678,59490904,MEP,O92Si46,46,11.483636980830775,-11.951631194197656
35296719,59490961,SAV,O96Si48,48,13.761567110032695,1.8421781959650878
35296642,59490854,GOO,O64Si32,32,15.3289721416306,-20.713971262769068
